Location,,,Populaton,,SectoralPiN(Number),,,,,,,,ProtectionAoRs,,,,,5979741
Admin1,Admin2,Admin2P-Code,Population,AffectedPopulation1,CCCM,Education,Nutrition,FoodSecurity,Health,OverarchingProtection,Shelter,WASH,CP,GBV,MineAction,HLP,PreliminaryPiN,FinalPiN
Banadir,Bondhere,SO2202,68435,1818,1409,626,1618,1091,1454,766,71,1184,-,255,745,766,1618,1618
Banadir,Cabdulasis,SO2201,16039,3048,2362,1050,2580,1829,1283,1284,120,1984,-,-,1250,1284,2580,2580
Banadir,Daynile,SO2203,727967,541008,419268,186297,350218,405830,420462,278359,420462,352196,278359,273631,221808,227895,420462,420462
Banadir,Dharkenley,SO2204,111153,4242,3287,1461,3775,2545,3394,2183,166,2762,2183,2008,1739,1787,3775,3775
Banadir,HamarJabjab,SO2205,48148,480,372,165,427,288,384,218,19,312,218,216,197,202,427,427
Banadir,HamarWeyne,SO2206,72223,630,488,217,561,378,504,286,25,410,286,283,258,265,561,561
Banadir,HawlWadaag,SO2207,117921,20290,15724,6987,18058,12174,16232,8547,796,13209,-,3991,8319,8547,18058,18058
Banadir,Heliwa,SO2209,365867,906,702,312,806,544,725,412,36,590,412,384,371,382,806,806
Banadir,Hodan,SO2208,110040,34222,26521,11784,20831,20533,13261,17607,1342,22279,17607,16202,14031,14416,26521,26521
Banadir,Kahda,SO2210,504986,428564,332127,147576,193254,321287,333073,220502,333073,278995,220502,202907,175707,180529,333073,333073
Banadir,Karaan,SO2211,131586,3240,2511,1116,2884,1944,2592,1473,127,2109,1473,1372,1328,1365,2884,2884
Banadir,Shangaani,SO2212,27348,3660,2836,1260,3257,2196,2188,1664,144,2383,1664,1550,1501,1542,3257,3257
Banadir,Shibis,SO2213,128120,1962,1521,676,1746,1177,1962,826,77,1277,-,-,804,826,1962,1962
Banadir,Waaberi,SO2214,68599,4908,3804,1690,4368,2945,4908,2232,193,3195,2232,2124,2012,2067,4908,4908
Banadir,Wadajir(Medina),SO2215,561737,9755,7560,3359,8682,5853,9755,5019,383,6351,5019,4879,3999,4109,9755,9755
Banadir,Wardhigley,SO2216,115589,3732,2892,1285,3321,2239,3732,1697,146,2430,1697,1594,1530,1572,3732,3732
Banadir,Yaaqshid,SO2217,86371,1290,1000,444,1148,774,1290,664,51,840,664,652,529,543,1290,1290
Galgaduud,Cabudwaaq,SO1902,218653,218653,45043,19528,40388,55308,22522,67289,76065,66278,56983,67289,50815,48563,76065,76065
Galgaduud,Cadaado,SO1903,140305,55273,3156,14497,23587,48750,26112,15689,31305,35983,11143,15689,6790,3553,48750,35983
Galgaduud,CeelBuur,SO1904,112031,41947,-,10536,18282,41947,33557,14420,-,27307,10188,14420,2097,6292,41947,41947
